family,family_label,feature_name,mean_pr_auc_decrease_across_folds,fold_sample_sd,min_fold_decrease,max_fold_decrease,positive_fold_count,mean_repeat_sample_sd,mean_fold_baseline_pr_auc,duplicate_rows_dropped_total,rank_within_family
qnn,QNN,delta_liabilities_to_assets_1y,0.000674855727429,0.00642100000435,-0.00876221097746,0.0103795265881,4,0.00364637690733,0.385564997681,5,17
random_forest,Random Forest,log1p_revenues_t,0.0160171788795,0.00637260052518,0.00840729608305,0.0247581123517,6,0.0107420393573,0.411419274942,5,1
random_forest,Random Forest,roa_t,0.0104698327521,0.00626743430122,0.00225716525574,0.0182492885745,6,0.00450636256896,0.411419274942,5,2
random_forest,Random Forest,log_assets_t,0.00907496581669,0.00432947255215,0.0030431837433,0.0145855295877,6,0.00533828870456,0.411419274942,5,3
random_forest,Random Forest,current_ratio_t,0.00874985401919,0.0119719498925,-0.00547746196641,0.0276750005386,4,0.00343255688507,0.411419274942,5,4
random_forest,Random Forest,working_capital_to_assets_t,0.00757685604372,0.0148407780491,-0.00917338218163,0.0290762429636,4,0.00395320463424,0.411419274942,5,5
random_forest,Random Forest,delta_ocf_to_assets_1y,0.00551669849817,0.00496459549581,-0.000596307924544,0.0141243768537,5,0.00170720665833,0.411419274942,5,6
random_forest,Random Forest,current_ratio_change_1y,0.00506781685593,0.00161756026199,0.00238385216369,0.00696397450223,6,0.00340634098645,0.411419274942,5,7
random_forest,Random Forest,revenue_growth_1y,0.00506242614801,0.00656408640216,-0.00313498661453,0.0132896560836,4,0.00233286457148,0.411419274942,5,8
random_forest,Random Forest,delta_roa_1y,0.00475828759959,0.00634996752333,-0.00240502360048,0.0149790268634,5,0.0047812881502,0.411419274942,5,9
random_forest,Random Forest,ocf_to_assets_t,0.00437875847389,0.00411159700064,-0.000478750285308,0.0101414202722,5,0.00324876114499,0.411419274942,5,10
random_forest,Random Forest,accruals_to_assets_t,0.00179641754978,0.00283119955208,-0.00184721986459,0.00578004523799,5,0.00176139908523,0.411419274942,5,11
random_forest,Random Forest,ocf_margin_t,0.00154892125699,0.00453571717733,-0.00351884933738,0.00704753674251,3,0.00335482934325,0.411419274942,5,12
random_forest,Random Forest,liabilities_to_assets_t,0.000779631160998,0.0010006000637,-0.000831818736109,0.00202457876671,5,0.0010680042057,0.411419274942,5,13
random_forest,Random Forest,asset_growth_1y,0.000764896567525,0.00304301915881,-0.00402693288798,0.00412897097763,4,0.00170070663522,0.411419274942,5,14
random_forest,Random Forest,profit_margin_t,-0.000529532656505,0.00451114133817,-0.00685010246805,0.0058163017149,3,0.00421218203553,0.411419274942,5,15
random_forest,Random Forest,delta_liabilities_to_assets_1y,-0.00085087458232,0.00192162125621,-0.00312305048703,0.00136784098183,2,0.00137046376202,0.411419274942,5,16
random_forest,Random Forest,asset_turnover_t,-0.00162442950939,0.00101618566282,-0.00313873382136,-0.00023943143255,0,0.00141885222424,0.411419274942,5,17
rbf_svm,SVM RBF,ocf_margin_t,0.0293315306409,0.0174119531733,0.0124934092879,0.0525619179442,6,0.00569750649342,0.399187180462,5,1
rbf_svm,SVM RBF,log1p_revenues_t,0.024911926122,0.0119049174714,0.0179635569751,0.049016605846,6,0.00804522697451,0.399187180462,5,2
rbf_svm,SVM RBF,delta_ocf_to_assets_1y,0.0183215521776,0.00893332560159,0.00666451364156,0.0270075749156,6,0.00518787324457,0.399187180462,5,3
rbf_svm,SVM RBF,profit_margin_t,0.0178997504102,0.0182011150365,-0.000601109920726,0.052187973059,5,0.00453316452893,0.399187180462,5,4
rbf_svm,SVM RBF,current_ratio_t,0.0167812835194,0.015226461843,-0.00228966561643,0.0432531374976,5,0.00526444318515,0.399187180462,5,5
rbf_svm,SVM RBF,current_ratio_change_1y,0.0138320224887,0.00678070898577,0.00743905833617,0.0262729390551,6,0.00416327393939,0.399187180462,5,6
rbf_svm,SVM RBF,revenue_growth_1y,0.0136027769747,0.00690430521119,0.00684523009438,0.0237310657511,6,0.00491500773853,0.399187180462,5,7
