cecha,blok,feature_year,n,n_finite,n_pominiete,median,P25,P75,missingness_pct
current_ratio_change_1y,D,2014,2300,2017,283,-0.0148766797253969,-0.2007196334103688,0.1963462811772744,12.304347826086955
current_ratio_change_1y,D,2015,2241,1989,252,-0.0247691710056583,-0.194447309980045,0.1601787111536658,11.244979919678714
current_ratio_change_1y,D,2016,2133,1873,260,-0.0456270695993968,-0.2367888934497598,0.1406853187158438,12.189404594467886
current_ratio_change_1y,D,2017,1549,1399,150,-0.0116581702422194,-0.1907321608743206,0.17383290519428107,9.683666881859263
current_ratio_change_1y,D,2018,1511,1340,171,-0.02277548118993205,-0.19671725670510354,0.17907723157939903,11.317008603573791
current_ratio_change_1y,D,2019,1638,1426,212,-0.02975073649366075,-0.21422367791486924,0.1525853615792258,12.942612942612945
current_ratio_change_1y,D,2020,1688,1479,209,0.0433688038773107,-0.13634862008214782,0.3271498838595547,12.381516587677725
delta_liabilities_to_assets_1y,D,2011,1907,1898,9,0.007096938860388,-0.0360466982124742,0.06305264236471533,0.47194546407970633
delta_liabilities_to_assets_1y,D,2012,2311,1967,344,0.0031755919299635,-0.03535381592415445,0.0617445556546348,14.885331025530075
delta_liabilities_to_assets_1y,D,2013,2393,2105,288,-0.004446129717398,-0.0563950853581944,0.0567364857054723,12.035102381947347
delta_liabilities_to_assets_1y,D,2014,2300,2022,278,0.01222587388104425,-0.03428089951022875,0.07312841823587632,12.086956521739129
delta_liabilities_to_assets_1y,D,2015,2241,1996,245,0.0095130184173637,-0.033985496421097,0.07358663777092073,10.932619366354306
delta_liabilities_to_assets_1y,D,2016,2133,1872,261,0.013975076066235,-0.026802027522594026,0.09336959593886113,12.236286919831224
delta_liabilities_to_assets_1y,D,2017,1549,1399,150,-0.0007248231532195,-0.05171378947284465,0.05979547562232315,9.683666881859263
delta_liabilities_to_assets_1y,D,2018,1511,1344,167,0.00131901498828445,-0.044958972451688325,0.07270755609436445,11.052283256121774
delta_liabilities_to_assets_1y,D,2019,1638,1429,209,0.0151482262487075,-0.0286084725877325,0.0779984340228617,12.759462759462759
delta_liabilities_to_assets_1y,D,2020,1688,1481,207,0.0001881605687458,-0.0512193993202371,0.0608621603710045,12.263033175355451
log1p_revenues_t,R,2011,1907,1800,107,19.727023748706607,17.50008187760038,21.387112883611486,5.610907184058731
log1p_revenues_t,R,2012,2311,1978,333,19.629070081459783,17.416554417475957,21.29943175910727,14.409346603202078
log1p_revenues_t,R,2013,2393,2202,191,19.5858325172048,17.33221893816613,21.225682935491587,7.981613038027581
log1p_revenues_t,R,2014,2300,2188,112,19.605264287741406,17.251823955808238,21.246143225909982,4.869565217391305
log1p_revenues_t,R,2015,2241,2120,121,19.513954051541678,17.145143794569176,21.226179830775774,5.399375278893351
log1p_revenues_t,R,2016,2133,2042,91,19.560516802734988,17.124080698015042,21.296634790883186,4.26629160806376
log1p_revenues_t,R,2017,1549,1441,108,19.729216248465985,17.081748899827044,21.34713314108743,6.972240154938671
log1p_revenues_t,R,2018,1511,1357,154,19.81232825387016,16.927469145000085,21.50650643225948,10.191925876902713
log1p_revenues_t,R,2019,1638,1480,158,19.760840370989357,17.056918586183293,21.543973020138925,9.645909645909647
log1p_revenues_t,R,2020,1688,1569,119,19.897076289312313,17.137340040329608,21.611527396510432,7.049763033175356
profit_margin_t,R,2011,1907,1790,117,0.032288805124289305,-0.06178994015945465,0.0916029561705543,6.135291033036182
profit_margin_t,R,2012,2311,1961,350,0.0266161786772042,-0.0973677400518886,0.0800873262093529,15.144958892254435
profit_margin_t,R,2013,2393,2179,214,0.0238239030057474,-0.11709137701655806,0.0760286000401313,8.942749686585875
profit_margin_t,R,2014,2300,2174,126,0.02160890448630415,-0.15558684717377544,0.07549860491826052,5.478260869565217
