comparison_id,replicate,status,model_a_ap,model_b_ap,delta_ap_a_minus_b,model_a_roc_auc,model_b_roc_auc,delta_roc_auc_a_minus_b
qnn_minus_pca_matched_fixed_l2_logistic,34,VALID,0.3666926247161591,0.3736223519244703,-0.006929727208311198,0.733284636211423,0.7374409912398012,-0.004156355028378189
xgboost_minus_hist_gradient_boosting,35,VALID,0.42950535348599134,0.42603776279510364,0.0034675906908877008,0.7590768706932649,0.7583081482028062,0.0007687224904586731
xgboost_minus_random_forest,35,VALID,0.42950535348599134,0.4230512137759415,0.006454139710049822,0.7590768706932649,0.7585620738827048,0.0005147968105601031
qnn_minus_pca_matched_mlp,35,VALID,0.40129822185699265,0.41615084800150365,-0.014852626144510994,0.7400728116607118,0.7396748651137899,0.00039794654692193454
qnn_minus_pca_matched_fixed_l2_logistic,35,VALID,0.40129822185699265,0.39836647088719984,0.0029317509697928124,0.7400728116607118,0.7372157865984139,0.002857025062297902
xgboost_minus_hist_gradient_boosting,36,VALID,0.42118309805424425,0.4166166899493526,0.004566408104891673,0.7662244671605876,0.7646101221231053,0.0016143450374822566
xgboost_minus_random_forest,36,VALID,0.42118309805424425,0.413216043666088,0.007967054388156258,0.7662244671605876,0.7622940690235629,0.003930398137024671
qnn_minus_pca_matched_mlp,36,VALID,0.3897510651844311,0.401526031032456,-0.011774965848024899,0.7476345095449185,0.7511148080883507,-0.0034802985434322364
qnn_minus_pca_matched_fixed_l2_logistic,36,VALID,0.3897510651844311,0.3963305989373996,-0.006579533752968492,0.7476345095449185,0.7495331550355471,-0.00189864549062857
xgboost_minus_hist_gradient_boosting,37,VALID,0.4054273781157228,0.3970656258056433,0.008361752310079518,0.7531677994619825,0.7515987544051623,0.0015690450568202063
xgboost_minus_random_forest,37,VALID,0.4054273781157228,0.40453139052125786,0.0008959875944649642,0.7531677994619825,0.7538262425064635,-0.0006584430444809275
qnn_minus_pca_matched_mlp,37,VALID,0.3857710834699178,0.3927328776964541,-0.006961794226536311,0.7376226940163051,0.7393777964885312,-0.0017551024722261
qnn_minus_pca_matched_fixed_l2_logistic,37,VALID,0.3857710834699178,0.3811867644633461,0.004584319006571691,0.7376226940163051,0.737000769003763,0.0006219250125421016
xgboost_minus_hist_gradient_boosting,38,VALID,0.41599584153607877,0.40678683526518666,0.009209006270892106,0.762993391241074,0.7601596200594496,0.0028337711816244227
xgboost_minus_random_forest,38,VALID,0.41599584153607877,0.3999420580110087,0.016053783525070087,0.762993391241074,0.7577792314204497,0.005214159820624342
qnn_minus_pca_matched_mlp,38,VALID,0.37806124963563426,0.38691693773894154,-0.00885568810330728,0.7369624746606092,0.7390957781798824,-0.002133303519273211
qnn_minus_pca_matched_fixed_l2_logistic,38,VALID,0.37806124963563426,0.3844148087196236,-0.006353559083989324,0.7369624746606092,0.7368574195974926,0.00010505506311653257
xgboost_minus_hist_gradient_boosting,39,VALID,0.40681543996986,0.4081680347392027,-0.0013525947693426854,0.7571862212556304,0.7562036531217825,0.0009825681338478942
xgboost_minus_random_forest,39,VALID,0.40681543996986,0.40226714750334186,0.004548292466518167,0.7571862212556304,0.7563059813026315,0.0008802399529989069
qnn_minus_pca_matched_mlp,39,VALID,0.37303527876304027,0.3897671903238724,-0.016731911560832147,0.7377457279272902,0.7439764089737291,-0.0062306810464388684
qnn_minus_pca_matched_fixed_l2_logistic,39,VALID,0.37303527876304027,0.37848417418202185,-0.005448895418981581,0.7377457279272902,0.7416136415432946,-0.0038679136160043592
xgboost_minus_hist_gradient_boosting,40,VALID,0.41902990402429796,0.41960686629076277,-0.0005769622664648089,0.7614211602787949,0.7621752461766349,-0.0007540858978399845
