dimension,group,observations,x_core_available,x_core_coverage,target_available,target_coverage,supervised_L_available,supervised_L_coverage
historical_sic,4011.0,104,90,0.8653846153846154,61,0.5865384615384616,61,0.5865384615384616
historical_sic,4013.0,9,9,1.0,0,0.0,0,0.0
historical_sic,4100.0,8,3,0.375,1,0.125,1,0.125
historical_sic,4210.0,34,31,0.9117647058823529,22,0.6470588235294118,22,0.6470588235294118
historical_sic,4213.0,210,201,0.9571428571428572,144,0.6857142857142857,144,0.6857142857142857
historical_sic,4220.0,10,9,0.9,0,0.0,0,0.0
historical_sic,4400.0,132,121,0.9166666666666666,51,0.38636363636363635,49,0.3712121212121212
historical_sic,4412.0,88,74,0.8409090909090909,32,0.36363636363636365,31,0.3522727272727273
historical_sic,4512.0,185,138,0.745945945945946,56,0.3027027027027027,55,0.2972972972972973
historical_sic,4513.0,41,38,0.926829268292683,28,0.6829268292682927,28,0.6829268292682927
historical_sic,4522.0,60,49,0.8166666666666667,26,0.43333333333333335,26,0.43333333333333335
historical_sic,4581.0,21,18,0.8571428571428571,15,0.7142857142857143,15,0.7142857142857143
historical_sic,4610.0,212,118,0.5566037735849056,49,0.23113207547169812,47,0.22169811320754718
historical_sic,4700.0,218,157,0.7201834862385321,59,0.2706422018348624,57,0.26146788990825687
historical_sic,4731.0,131,121,0.9236641221374046,79,0.6030534351145038,78,0.5954198473282443
historical_sic,4812.0,84,71,0.8452380952380952,36,0.42857142857142855,36,0.42857142857142855
historical_sic,4813.0,517,404,0.781431334622824,224,0.4332688588007737,213,0.4119922630560928
historical_sic,4822.0,35,31,0.8857142857142857,24,0.6857142857142857,22,0.6285714285714286
historical_sic,4832.0,179,157,0.8770949720670391,105,0.5865921787709497,104,0.5810055865921788
historical_sic,4833.0,185,173,0.9351351351351351,98,0.5297297297297298,97,0.5243243243243243
historical_sic,4841.0,302,256,0.847682119205298,146,0.48344370860927155,142,0.47019867549668876
historical_sic,4899.0,338,260,0.7692307692307693,119,0.3520710059171598,115,0.34023668639053256
historical_sic,5000.0,63,45,0.7142857142857143,24,0.38095238095238093,24,0.38095238095238093
historical_sic,5010.0,44,36,0.8181818181818182,22,0.5,21,0.4772727272727273
historical_sic,5013.0,45,33,0.7333333333333333,20,0.4444444444444444,19,0.4222222222222222
