research_universe_company_year_id,cik10,feature_year,anchor_accession,primitive,tag,value,start,end,review_outcome
0000840715-2016,0000840715,2016,0001493152-17-002516,current_liabilities,LiabilitiesCurrent,9321000.0,,2016-12-31,PASS_exact_companyfacts_record
0000840715-2016,0000840715,2016,0001493152-17-002516,net_income,NetIncomeLoss,2444000.0,2016-01-01,2016-12-31,PASS_exact_companyfacts_record
0000840715-2016,0000840715,2016,0001493152-17-002516,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,7834000.0,2016-01-01,2016-12-31,PASS_exact_companyfacts_record
0001459839-2022,0001459839,2022,0001459839-23-000020,assets,Assets,157552000.0,,2022-12-31,PASS_exact_companyfacts_record
0001459839-2022,0001459839,2022,0001459839-23-000020,liabilities,Liabilities,59250000.0,,2022-12-31,PASS_exact_companyfacts_record
0001459839-2022,0001459839,2022,0001459839-23-000020,current_assets,AssetsCurrent,137611000.0,,2022-12-31,PASS_exact_companyfacts_record
0001459839-2022,0001459839,2022,0001459839-23-000020,current_liabilities,LiabilitiesCurrent,21178000.0,,2022-12-31,PASS_exact_companyfacts_record
0001459839-2022,0001459839,2022,0001459839-23-000020,net_income,NetIncomeLoss,-61256000.0,2022-01-01,2022-12-31,PASS_exact_companyfacts_record
0001459839-2022,0001459839,2022,0001459839-23-000020,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,-41655000.0,2022-01-01,2022-12-31,PASS_exact_companyfacts_record
0000874691-2011,0000874691,2011,0000874691-12-000017,assets,Assets,2565559000.0,,2011-12-31,PASS_exact_companyfacts_record
0000874691-2011,0000874691,2011,0000874691-12-000017,liabilities,Liabilities,2569450000.0,,2011-12-31,PASS_exact_companyfacts_record
0000874691-2011,0000874691,2011,0000874691-12-000017,current_assets,AssetsCurrent,580699000.0,,2011-12-31,PASS_exact_companyfacts_record
0000874691-2011,0000874691,2011,0000874691-12-000017,current_liabilities,LiabilitiesCurrent,671420000.0,,2011-12-31,PASS_exact_companyfacts_record
0000874691-2011,0000874691,2011,0000874691-12-000017,net_income,NetIncomeLoss,80754000.0,2011-01-01,2011-12-31,PASS_exact_companyfacts_record
0000874691-2011,0000874691,2011,0000874691-12-000017,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,274627000.0,2011-01-01,2011-12-31,PASS_exact_companyfacts_record
0001169264-2013,0001169264,2013,0001169264-14-000006,assets,Assets,3669018000.0,,2013-12-31,PASS_exact_companyfacts_record
0001169264-2013,0001169264,2013,0001169264-14-000006,liabilities,Liabilities,2479871000.0,,2013-12-31,PASS_exact_companyfacts_record
0001169264-2013,0001169264,2013,0001169264-14-000006,current_assets,AssetsCurrent,558442000.0,,2013-12-31,PASS_exact_companyfacts_record
0001169264-2013,0001169264,2013,0001169264-14-000006,current_liabilities,LiabilitiesCurrent,166077000.0,,2013-12-31,PASS_exact_companyfacts_record
0001315061-2012,0001315061,2012,0001214659-13-001181,assets,Assets,25374000.0,,2012-12-31,PASS_exact_companyfacts_record
0001315061-2012,0001315061,2012,0001214659-13-001181,liabilities,Liabilities,2036000.0,,2012-12-31,PASS_exact_companyfacts_record
