historical_sic,historical_sic_description,company_years,unique_ciks
3844.0,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS,40,6
5070.0,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES,40,11
2033.0,"CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES",39,6
2390.0,MISCELLANEOUS FABRICATED TEXTILE PRODUCTS,39,10
2511.0,"WOOD HOUSEHOLD FURNITURE, (NO UPHOLSTERED)",39,4
3390.0,MISCELLANEOUS PRIMARY METAL PRODUCTS,39,3
3290.0,"ABRASIVE, ASBESTOS & MISC NONMETALLIC MINERAL PRODS",38,7
3612.0,"POWER, DISTRIBUTION & SPECIALTY TRANSFORMERS",38,8
4210.0,TRUCKING & COURIER SERVICES (NO AIR),38,8
2200.0,TEXTILE MILL PRODUCTS,37,6
3011.0,TIRES & INNER TUBES,37,4
3086.0,PLASTICS FOAM PRODUCTS,37,5
3430.0,"HEATING EQUIP, EXCEPT ELEC & WARM AIR; & PLUMBING FIXTURES",37,7
3537.0,"INDUSTRIAL TRUCKS, TRACTORS, TRAILORS & STACKERS",37,6
2990.0,MISCELLANEOUS PRODUCTS OF PETROLEUM & COAL,36,5
3822.0,AUTO CONTROLS FOR REGULATING RESIDENTIAL & COMML ENVIRONMENTS,36,6
3652.0,PHONOGRAPH RECORDS & PRERECORDED AUDIO TAPES & DISKS,35,7
3231.0,"GLASS PRODUCTS, MADE OF PURCHASED GLASS",34,4
5945.0,"RETAIL-HOBBY, TOY & GAME SHOPS",34,7
3341.0,SECONDARY SMELTING & REFINING OF NONFERROUS METALS,33,9
7331.0,SERVICES-DIRECT MAIL ADVERTISING SERVICES,33,9
3910.0,"JEWELRY, SILVERWARE & PLATED WARE",32,4
5020.0,WHOLESALE-FURNITURE & HOME FURNISHINGS,32,13
5072.0,WHOLESALE-HARDWARE,32,5
7841.0,SERVICES-VIDEO TAPE RENTAL,32,6
2340.0,"WOMEN'S, MISSES', CHILDREN'S & INFANTS' UNDERGARMENTS",31,6
5110.0,WHOLESALE-PAPER & PAPER PRODUCTS,31,5
2780.0,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK",30,3
3270.0,"CONCRETE, GYPSUM & PLASTER PRODUCTS",30,6
3330.0,PRIMARY SMELTING & REFINING OF NONFERROUS METALS,30,5
3360.0,NONFERROUS FOUNDRIES (CASTINGS),30,3
3530.0,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP",30,4
2011.0,MEAT PACKING PLANTS,29,6
2221.0,"BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK",29,5
2891.0,ADHESIVES & SEALANTS,29,3
3613.0,SWITCHGEAR & SWITCHBOARD APPARATUS,29,3
3873.0,"WATCHES, CLOCKS, CLOCKWORK OPERATED DEVICES/PARTS",29,3
2211.0,"BROADWOVEN FABRIC MILLS, COTTON",28,2
2522.0,OFFICE FURNITURE (NO WOOD),28,2
2741.0,MISCELLANEOUS PUBLISHING,28,10
3716.0,MOTOR HOMES,28,2
5099.0,"WHOLESALE-DURABLE GOODS, NEC",28,9
2013.0,SAUSAGES & OTHER PREPARED MEAT PRODUCTS,27,3
2024.0,ICE CREAM & FROZEN DESSERTS,27,5
3334.0,PRIMARY PRODUCTION OF ALUMINUM,27,3
5031.0,"WHOLESALE-LUMBER, PLYWOOD, MILLWORK & WOOD PANELS",27,4
5040.0,WHOLESALE-PROFESSIONAL & COMMERCIAL EQUIPMENT & SUPPLIES,27,6
2531.0,PUBLIC BLDG & RELATED FURNITURE,25,3
5180.0,"WHOLESALE-BEER, WINE & DISTILLED ALCOHOLIC BEVERAGES",25,8
8744.0,SERVICES-FACILITIES SUPPORT MANAGEMENT SERVICES,25,5
3050.0,"GASKETS, PACKG & SEALG DEVICES & RUBBER & PLASTICS HOSE",24,2
3541.0,"MACHINE TOOLS, METAL CUTTING TYPES",24,3
