research_universe_company_year_id,accession,feature_year,cik10,company_name_historical,historical_sic,research_sector,registrant_role,registrant_role_resolved,joint_filing_flag,accession_registrant_count,eligible_observation_count,xbrl_instance,scope_status,scope_reason,statement_entity_ciks,manual_series_id,manual_evidence,non_operating_issuer_ciks,economic_entity_status,recommended_membership_action,economic_entity_reason,economic_group_id,economic_statement_scope_id,potential_non_operating_finance_registrant
0001164888-2017,0001654954-17-006008,2017,0001164888,KYTO BIOPHARMA INC,2834.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001164888,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001164888,0001654954-17-006008:0001164888,False
0001106213-2017,0001654954-18-003516,2017,0001106213,SEAFARER EXPLORATION CORP,7900.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001106213,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001106213,0001654954-18-003516:0001106213,False
0000047129-2017,0001657853-18-000016,2017,0000047129,HERTZ CORP,7510.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,joint_co_registrant,True,,2,htz-20171231.xml,resolved,primary_10k_distinct_statement_sets_mapped,0000047129;0001657853,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,registrant_cik_matches_distinct_primary_statement_suite,joint_group_0000047129,0001657853-18-000016:0000047129,False
0001657853-2017,0001657853-18-000016,2017,0001657853,"HERTZ GLOBAL HOLDINGS, INC",7510.0,Extended_Candidate,primary_xbrl_registrant,joint_primary_registrant,True,,2,htz-20171231.xml,resolved,primary_10k_distinct_statement_sets_mapped,0000047129;0001657853,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,registrant_cik_matches_distinct_primary_statement_suite,joint_group_0000047129,0001657853-18-000016:0001657853,False
0001670869-2017,0001663577-17-000333,2017,0001670869,"Rocky Mountain High Brands, Inc.",2080.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001670869,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001670869,0001663577-17-000333:0001670869,False
0001459482-2017,0001683168-17-002244,2017,0001459482,"Chineseinvestors.com, Inc.",8200.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001459482,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001459482,0001683168-17-002244:0001459482,False
0000811222-2017,0001683168-18-001031,2017,0000811222,Cardiff Lexington Corp,5812.0,Retail,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0000811222,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0000811222,0001683168-18-001031:0000811222,False
0001288195-2017,0001683168-18-001458,2017,0001288195,IGS Capital Group Ltd,5900.0,Retail,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001288195,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001288195,0001683168-18-001458:0001288195,False
0001614826-2017,0001683168-18-002376,2017,0001614826,"Southeastern Holdings, Inc.",3790.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001614826,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001614826,0001683168-18-002376:0001614826,False
0001443089-2017,0001683168-18-002493,2017,0001443089,"WEARABLE HEALTH SOLUTIONS, INC.",3669.0,Technology,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001443089,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001443089,0001683168-18-002493:0001443089,False
