rank,family,family_label,configuration_id,model_configuration,feature_block,parameters_display,training_seed,status,failure_code,convergence_status,pooled_oof_n,pooled_oof_positive_n,pooled_oof_positive_share,pooled_oof_pr_auc,pooled_oof_roc_auc,fold_pr_auc_mean,fold_pr_auc_sample_sd,runtime_seconds,delta_pr_auc_vs_dummy,delta_pr_auc_vs_fixed_l2,identity
126,pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__009,MLP (PyTorch) | model_stage_v1__coarse__pytorch_mlp__epochs_200__009,L+D,"{""activation"": ""tanh"", ""batch_size"": 256, ""epochs"": 200, ""hidden_layer_sizes"": [32], ""imbalance"": ""none"", ""learning_rate"": 0.0003, ""weight_decay"": 1e-05}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38070740931824093,0.74314442607254649,0.38689181081232332,0.049039252280261882,46.294447249965742,0.20842425839543052,-0.00094744261025619947,pytorch_mlp|L+D|model_stage_v1__coarse__pytorch_mlp__epochs_200__009|seed=20260818
127,hist_gradient_boosting,HistGradientBoosting,model_stage_v1__coarse__hist_gradient_boosting__012,HistGradientBoosting | model_stage_v1__coarse__hist_gradient_boosting__012,L,"{""imbalance"": ""sqrt"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_features"": 0.7, ""max_iter"": 150, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38063862592422243,0.74533932650504764,0.38212320715296982,0.057749303203023197,12.22878958308138,0.20835547500141202,-0.0010162260042747007,hist_gradient_boosting|L|model_stage_v1__coarse__hist_gradient_boosting__012|seed=20260818
128,elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__011,Regresja logistyczna Elastic Net | model_stage_v1__coarse__elastic_net_logistic__011,L+D+R,"{""C"": 100.0, ""imbalance"": ""sqrt"", ""l1_ratio"": 0.0}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38061662666115914,0.7379816913057462,0.38167528950488983,0.049528619862131244,90.399745290982537,0.20833347573834873,-0.0010382252673379888,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__011|seed=20260818
129,elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__012,Regresja logistyczna Elastic Net | model_stage_v1__coarse__elastic_net_logistic__012,L+D+R,"{""C"": 100.0, ""imbalance"": ""sqrt"", ""l1_ratio"": 0.75}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38060538162016694,0.73795747345620388,0.38165264949691963,0.049555494378135265,136.65402750007343,0.20832223069735653,-0.0010494703083301915,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__012|seed=20260818
130,elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__007,Regresja logistyczna Elastic Net | model_stage_v1__coarse__elastic_net_logistic__007,L+D+R,"{""C"": 1.0, ""imbalance"": ""none"", ""l1_ratio"": 0.25}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38057698934621137,0.73769474996045947,0.38314049844335973,0.052496586758041974,45.995293375046458,0.20829383842340096,-0.0010778625822857602,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__007|seed=20260818
131,elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__010,Regresja logistyczna Elastic Net | model_stage_v1__coarse__elastic_net_logistic__010,L+D+R,"{""C"": 10.0, ""imbalance"": ""none"", ""l1_ratio"": 0.25}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38049501715552841,0.73747013227536917,0.38242873924233772,0.051815837820637173,115.01033866702346,0.20821186623271801,-0.0011598347729687153,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__010|seed=20260818
132,pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__004,MLP (PyTorch) | model_stage_v1__coarse__pytorch_mlp__epochs_200__004,L+D+R,"{""activation"": ""relu"", ""batch_size"": 64, ""epochs"": 200, ""hidden_layer_sizes"": [32, 16], ""imbalance"": ""sqrt"", ""learning_rate"": 0.0003, ""weight_decay"": 0.0001}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38033611723302618,0.73540340854180775,0.38955284244740812,0.053657034033311686,151.10605216701515,0.20805296631021578,-0.0013187346954709467,pytorch_mlp|L+D+R|model_stage_v1__coarse__pytorch_mlp__epochs_200__004|seed=20260818
133,elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__008,Regresja logistyczna Elastic Net | model_stage_v1__coarse__elastic_net_logistic__008,L+D+R,"{""C"": 1.0, ""imbalance"": ""none"", ""l1_ratio"": 1.0}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38031564448889454,0.73768596955529375,0.38303305568173668,0.052794508727228281,44.071619791036937,0.20803249356608414,-0.0013392074396025855,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__008|seed=20260818
134,rbf_svm,SVM RBF,model_stage_v1__coarse__rbf_svm__004,SVM RBF | model_stage_v1__coarse__rbf_svm__004,L+D,"{""C"": 1.0, ""gamma"": 0.01, ""imbalance"": ""sqrt""}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38014277137683822,0.72689396208839119,0.3855162570004867,0.054584735359276375,35.98329304199433,0.20785962045402781,-0.001512080551658912,rbf_svm|L+D|model_stage_v1__coarse__rbf_svm__004|seed=20260818
135,random_forest,Random Forest,model_stage_v1__coarse__random_forest__002,Random Forest | model_stage_v1__coarse__random_forest__002,L,"{""criterion"": ""gini"", ""imbalance"": ""none"", ""max_depth"": 24, ""max_features"": 1.0, ""max_samples"": 0.7, ""min_samples_leaf"": 1}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38001384571467972,0.74429270794811464,0.38338592612839367,0.054158851192779328,260.84212445904268,0.20773069479186931,-0.0016410062138174086,random_forest|L|model_stage_v1__coarse__random_forest__002|seed=20260818
